Gene	L12023_WT_d0_1_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12087_miR-124KO_d0_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12024_WT_d0_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12088_miR-124KO_d0_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12025_WT_d0_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12089_miR-124KO_d0_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12026_WT_d0_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12091_miR-124KO_d0_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12027_WT_d0_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12092_miR-124KO_d0_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12028_WT_d0_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12093_miR-124KO_d0_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12029_WT_d0_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12094_miR-124KO_d1_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12030_WT_d1_1_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12095_miR-124KO_d1_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12031_WT_d1_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12096_miR-124KO_d1_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12032_WT_d1_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12097_miR-124KO_d1_5_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12033_WT_d1_5_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12098_miR-124KO_d1_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12034_WT_d1_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12099_miR-124KO_d1_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12035_WT_d1_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12100_miR-124KO_d1_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12036_WT_d1_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12101_miR-124KO_d2_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12037_WT_d2_1_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12102_miR-124KO_d2_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12038_WT_d2_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12103_miR-124KO_d2_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12039_WT_d2_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12104_miR-124KO_d2_5_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12040_WT_d2_5_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12105_miR-124KO_d2_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12041_WT_d2_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12106_miR-124KO_d2_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12042_WT_d2_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12107_miR-124KO_d2_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12043_WT_d2_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12108_miR-124KO_d3_1_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12044_WT_d3_1_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12109_miR-124KO_d3_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12045_WT_d3_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12110_miR-124KO_d3_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12046_WT_d3_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12111_miR-124KO_d3_5_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12047_WT_d3_5_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12112_miR-124KO_d3_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12048_WT_d3_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12113_miR-124KO_d3_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12049_WT_d3_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12114_miR-124KO_d3_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12050_WT_d3_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12115_miR-124KO_d4_1_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12051_WT_d4_1_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12116_miR-124KO_d4_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12052_WT_d4_2_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12117_miR-124KO_d4_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12053_WT_d4_3_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12118_miR-124KO_d4_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12054_WT_d4_4_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12119_miR-124KO_d4_5_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12084_WT_d4_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12120_miR-124KO_d4_6_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12085_WT_d4_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12121_miR-124KO_d4_7_R1.fastq.trimmed.segemehl..bam.rnacounter_Count	L12086_WT_d4_8_R1.fastq.trimmed.segemehl..bam.rnacounter_Count
KAT6B	1735	2020	2272	2218	1833	1895	1586	1445	1884	1925	1908	1840	1827	3265	2838	3254	2897	3164	2918	3724	3017	3147	2643	3272	3131	4163	2854	2554	2411	2519	2214	2654	2262	2805	2171	2707	2140	2562	1918	3140	2196	2931	4186	2964	3679	3120	3439	3823	3201	3374	3338	2960	3603	2192	3449	4131	4241	4878	3876	5617	4085	5656	3986	5527	3352	5579	4758	5604	4276
RAB3GAP1	2881	2177	2762	2142	2507	2237	2326	2183	2425	2382	2584	2313	2497	2109	2202	2145	2139	2245	1864	2646	2243	2239	1933	2340	2119	2652	2066	1784	1758	1773	1669	1820	1856	1875	1675	1996	1500	1842	1586	2089	1697	2014	1878	1991	1850	2075	1560	2422	1410	2408	1673	2045	1874	1785	1809	2276	1677	2736	1873	2931	1857	3226	1763	2660	1650	2767	2064	3055	1811
MVK	606	704	779	468	622	572	647	453	634	447	622	497	606	831	1005	781	1201	854	1203	1045	1188	834	1019	765	1217	960	988	1833	1736	1623	1495	1737	1787	1947	1677	1474	1510	1632	1529	1796	1506	1932	1910	2386	2133	2277	1931	3059	2087	2741	1724	2332	2281	2278	1698	1521	1870	1799	1791	2119	1834	2185	1766	1673	1643	2104	1535	2061	1894
TMEM240	63	65	87	91	56	106	58	35	97	70	86	74	99	61	58	39	63	67	70	91	69	36	64	46	83	84	54	80	88	71	80	93	80	94	94	95	80	73	74	91	85	71	115	123	180	128	120	144	148	169	148	161	180	111	141	177	220	206	212	282	189	355	211	247	197	314	153	278	216
ADAM22	1032	998	1078	1004	882	1104	939	948	922	1068	926	1007	1056	1472	1608	1408	1783	1545	1484	1719	1916	1612	1632	1617	2006	1939	1575	3659	5100	3557	4684	3702	4947	4187	4549	3545	4234	3794	3990	4208	4656	5126	6843	5494	6529	5322	5636	6696	5170	5594	5591	5092	6000	4033	5978	6620	6024	8174	5667	8629	5917	9331	5334	9052	5107	8404	7348	9995	6404
RPL35	6943	6462	6828	6123	6243	6153	6666	5344	6834	5820	6237	6226	6053	5425	5030	5390	6162	5444	6208	6677	6234	5780	5199	5166	5722	5932	4960	5224	3388	3706	3470	3930	4019	4426	3880	3917	3459	3890	3508	4664	3664	2621	1955	3280	2226	3114	1849	4225	1972	4090	2093	3127	2651	3822	2103	1934	1516	2474	1545	2901	1731	2881	1652	2427	1961	3234	1829	3042	1620
KIF5A	1450	2006	2108	1887	1870	1754	1600	1540	1886	1740	1667	1473	1918	1466	1501	1441	1729	1428	1766	1728	1696	1359	1431	1311	1753	1835	1636	1396	4096	1668	3716	1563	3664	1827	3620	1707	3087	1424	2999	1543	3866	4596	17594	5001	18448	5382	15293	5544	13824	5022	12882	4037	11895	3147	13460	16165	23568	20464	23272	23462	21694	23714	23336	19472	16856	20138	23246	21320	24639
APP	41592	39996	39155	37473	39201	38285	38603	35193	38727	37072	38576	36836	35934	33315	37850	34360	35076	34226	36420	41750	37760	35865	32454	33712	36254	41070	33055	27474	28096	25454	27780	26429	30030	29458	28432	27360	25761	25846	24092	31489	27962	21241	28334	24474	30313	23936	25694	31057	23586	28634	24098	22872	26875	22763	24880	29004	31829	35288	31033	40649	32423	41816	32466	36921	29023	39308	33479	40433	33660
CPT2	738	582	693	530	677	538	666	495	672	528	669	554	628	507	539	541	584	460	586	638	510	528	528	517	550	670	499	536	655	456	575	553	622	490	633	504	571	560	551	564	543	509	246	602	243	622	336	807	351	705	420	524	509	576	456	537	443	673	438	834	489	853	388	718	494	832	536	916	457
PHGDH	24215	31152	27582	29286	25943	26948	25518	25403	26109	27604	24136	28195	24080	23068	19123	22867	21436	20533	22417	29020	22088	25028	19364	22656	20912	26644	18351	11480	6661	10795	6423	10278	7600	11850	7588	10099	6389	10242	5909	12962	6848	4900	3615	4229	4087	7069	3341	6772	3632	5363	3464	5259	4040	4515	3322	12587	6959	18548	6985	22073	6854	23128	7084	17351	6659	20187	7001	29039	7924
POMT1	857	1079	1023	851	983	872	971	865	1025	819	972	823	934	746	1111	857	1267	856	1263	1207	1290	1009	1148	872	1309	1097	1112	1330	1705	1263	1451	1288	1587	1377	1571	1254	1292	1256	1407	1506	1384	1937	2772	2205	3171	2156	2251	2573	2545	2518	2229	2038	2301	1784	2225	2465	2272	2958	2403	3517	2483	3579	2325	3248	2111	3608	2413	3515	2484
VPS50	564	341	525	380	507	451	414	458	411	446	472	431	467	567	586	619	686	618	590	723	725	640	619	665	701	724	717	766	718	725	755	700	778	801	847	774	742	711	675	785	819	792	697	875	774	893	798	1004	655	973	930	853	1005	895	929	910	985	1177	922	1300	962	1261	905	1212	1010	1368	1170	1197	1045
ARHGEF18	133	130	146	170	143	168	148	134	154	137	164	161	152	200	203	213	226	164	229	207	216	185	187	180	197	214	177	183	130	155	119	178	154	161	144	144	133	149	126	160	150	134	135	150	129	137	105	207	123	215	146	201	150	131	121	144	122	175	138	182	144	228	113	176	103	184	118	179	115
U2AF2	7789	8671	10471	8953	8958	7748	8697	6095	9382	6944	9015	7789	8797	7391	5926	7920	6891	8181	7163	9104	7340	7261	5761	7301	6726	9516	6378	7814	7228	7426	6598	7587	7505	8184	7285	6977	6428	6888	6171	7997	7233	6218	7464	7299	9297	7737	6554	9917	6465	9839	6988	7803	7747	7540	6300	5461	4746	6586	5059	7850	5767	8081	4970	7283	4882	8386	5264	7435	5262
LEPR	436	282	281	235	294	284	355	368	322	329	313	354	286	418	512	349	607	334	535	447	604	504	615	421	646	457	624	469	439	576	391	524	508	624	384	615	422	588	420	668	447	350	211	346	197	332	192	391	159	348	170	351	231	310	205	320	309	486	272	456	301	516	285	459	244	505	374	446	355
CLCN2	548	641	660	467	513	448	519	422	619	466	566	487	597	372	329	394	305	299	431	484	364	384	372	443	335	448	372	283	257	240	245	296	267	240	260	275	186	249	251	324	206	227	321	161	480	243	192	293	173	304	193	211	200	222	226	313	319	319	350	401	288	480	281	370	300	392	308	452	291
MANF	1778	1810	1987	1837	1658	1745	1668	1446	1635	1635	1544	1779	1724	2308	2948	2672	3369	2873	3374	3190	3597	2413	2880	2605	3252	3137	3079	3077	2212	2535	2109	2677	2482	3122	2403	2678	2029	2665	2054	3369	2089	1434	1176	1787	1349	1635	1104	2054	1154	2025	1227	1778	1319	2256	997	903	994	1067	968	1262	993	1236	1064	1064	1238	1180	1145	1319	1040
CC2D1A	1218	1543	1767	1499	1587	1367	1506	1213	1572	1198	1537	1309	1570	1472	1386	1356	1602	1357	1772	1924	1611	1682	1467	1395	1716	1744	1474	1849	1528	1594	1465	1548	1475	1699	1612	1495	1366	1637	1246	1778	1507	1304	1168	1466	1330	1721	1233	1957	1331	1845	1149	1624	1325	1345	1149	1347	1287	1544	1480	2098	1484	2189	1272	1772	1345	2096	1438	2380	1342
DPYD	38	18	32	22	38	41	25	19	22	37	22	37	33	34	39	28	47	47	42	49	48	45	80	11	35	43	35	41	87	59	93	52	77	47	65	48	108	40	60	56	92	45	126	54	122	71	104	68	90	59	98	66	134	57	100	71	68	70	57	78	79	106	69	68	73	83	92	76	36
ADCY3	912	1223	1272	1193	1200	1121	1137	900	1221	956	1235	944	1310	1586	2705	1651	2713	1318	2892	1894	2931	1615	2486	1414	3110	1792	2405	3251	3095	2720	3032	2932	3281	3419	3128	2934	2882	3179	2738	3335	2915	3382	1648	3686	1837	4108	1619	5174	1707	4909	1793	3750	2314	3124	1675	4896	1497	5969	1642	7289	1773	7426	1486	6601	1455	7772	1843	8373	1463
DPH2	1673	1989	2429	2114	2134	1941	1964	1391	2113	1624	1932	1790	2042	1346	1472	1570	1928	1568	1832	1662	1850	1370	1527	1276	1773	1815	1592	1393	1494	1202	1345	1311	1742	1416	1566	1277	1268	1204	1301	1339	1454	1088	1035	1355	1200	1389	1055	1769	1150	1671	1174	1455	1562	1401	1150	871	868	1061	935	1139	1044	1305	913	1049	910	1326	1067	1371	996
ANKRD17	6956	6780	8438	6842	7062	6525	6076	5224	6976	6423	7399	6010	7294	5745	7191	5878	7043	6043	6276	7151	7287	5575	6084	6239	7322	7348	6652	5295	6848	5108	6494	5464	6622	6227	5967	5426	5686	5732	5685	6277	6504	6079	6686	6323	7430	5804	5870	7532	5368	6930	5823	6008	6998	4168	6178	5843	6518	7208	6309	7529	6560	7693	6001	7193	4862	7144	7650	7693	6755
GATM	704	475	422	434	474	450	540	487	494	514	516	454	507	4736	7697	4111	8674	4008	7241	5381	8766	5483	8525	4664	9238	5274	7718	12826	9683	11582	9716	11985	10393	13037	10121	11854	9635	12057	8556	13988	9554	7185	2447	8892	2607	7602	2591	9494	2557	9862	2882	8250	3632	8626	3277	2559	1410	3656	1444	4070	1528	4102	1290	3845	1846	4234	1859	4526	1479
RPL8	38126	43697	42207	41489	39695	38545	39856	34400	40598	37459	37700	39619	37163	35779	33351	35636	40196	32413	42872	45229	40872	39263	33766	34666	35882	41153	31842	31144	21997	24036	20573	25321	24931	29255	24782	24334	21579	25000	20130	29707	23081	16048	12289	20179	15501	21147	12430	28098	12665	27154	15287	21976	14887	23223	13323	16096	9344	19531	9727	24086	10967	24083	9386	21290	10942	26605	11020	24891	10310
AGL	714	472	615	521	554	523	566	471	607	515	551	640	675	539	415	448	518	639	407	776	544	652	503	631	514	720	514	576	425	602	445	524	542	657	476	678	477	478	435	634	484	681	778	791	786	758	619	786	590	838	614	710	438	792	568	512	441	865	387	970	391	1125	425	727	445	797	504	750	495
RAD51	1106	1041	1262	1004	1039	991	1007	927	1192	853	1078	1109	1099	1146	868	1196	1055	1250	961	1415	939	1150	921	1193	987	1329	831	1458	985	1268	877	1148	994	1466	1047	1440	797	1284	866	1733	840	875	193	919	131	1138	240	1091	166	1023	258	901	339	931	261	244	91	363	102	409	140	443	120	254	117	384	152	351	114
RERE	4776	6060	6815	5850	5792	5443	5282	4360	6054	5077	6121	4958	5693	5409	5910	5945	6451	5352	6403	7053	6455	5900	5979	5658	6712	7048	6173	6077	7356	6357	6872	6624	7065	6997	7075	6585	6566	6351	5685	7316	7078	7507	10324	8510	12439	8748	7846	11313	8329	9867	7656	8268	9057	5686	7867	8808	8194	9996	8125	12082	8977	12202	7756	10289	6293	10810	9027	11748	8550
